strategy,symbol,tier,trades,wins,win_rate,profit_factor,total_return_pct,max_dd_pct,avg_hold_days
EMA-10/30,XLK,tier1,1,1,100.0,99.0,0.03,0.0,0.0
Keltner,XLK,tier1,1,1,100.0,99.0,0.59,0.0,6.0
ADX-Pullback,XLK,tier1,0,0,0.0,0.0,0.0,0.0,0.0
RSI-2,XLY,tier1,10,7,70.0,2.251,1.46,1.06,1.1
BB-MR,XLY,tier1,3,0,0.0,0.0,-2.97,2.97,3.0
IBS,XLY,tier1,14,8,57.14,0.912,-0.28,1.36,1.6
ConnorsRSI,XLY,tier1,3,2,66.67,15.708,1.3,0.09,1.3
Williams%R,XLY,tier1,3,0,0.0,0.0,-2.97,2.97,3.7
Stoch,XLY,tier1,4,2,50.0,1.078,0.15,1.99,3.8
MFI,XLY,tier1,1,0,0.0,0.0,-1.0,1.0,5.0
MACD-Hist,XLY,tier1,8,3,37.5,0.396,-1.94,1.94,6.6
Donchian-BO,XLY,tier1,4,3,75.0,3.979,1.93,0.63,30.0
EMA-10/30,XLY,tier1,2,0,0.0,0.0,-1.72,1.72,8.5
Keltner,XLY,tier1,5,3,60.0,1.292,0.58,1.99,3.4
ADX-Pullback,XLY,tier1,0,0,0.0,0.0,0.0,0.0,0.0
RSI-2,XLI,tier1,13,11,84.62,3.354,2.64,0.72,1.3
BB-MR,XLI,tier1,3,2,66.67,1.291,0.3,1.0,5.3
IBS,XLI,tier1,27,22,81.48,2.323,5.22,2.29,1.6
ConnorsRSI,XLI,tier1,1,0,0.0,0.0,-0.72,0.72,5.0
Williams%R,XLI,tier1,4,3,75.0,2.466,1.06,0.72,5.0
Stoch,XLI,tier1,4,2,50.0,1.406,0.48,1.0,4.2
MFI,XLI,tier1,0,0,0.0,0.0,0.0,0.0,0.0
MACD-Hist,XLI,tier1,12,5,41.67,1.121,0.64,3.75,7.2
Donchian-BO,XLI,tier1,4,3,75.0,8.645,2.94,0.37,30.0
EMA-10/30,XLI,tier1,3,2,66.67,7.036,2.08,0.34,19.3
Keltner,XLI,tier1,3,1,33.33,0.233,-1.53,1.99,3.3
ADX-Pullback,XLI,tier1,0,0,0.0,0.0,0.0,0.0,0.0
RSI-2,GOOGL,tier2,10,7,70.0,1.641,1.34,1.4,1.2
BB-MR,GOOGL,tier2,4,2,50.0,1.194,0.39,1.99,2.5
IBS,GOOGL,tier2,15,10,66.67,1.498,1.56,1.72,1.7
ConnorsRSI,GOOGL,tier2,4,3,75.0,1.133,0.13,1.0,1.5
